Mac or Windows?New RccService version-bd4659af810b4fd7 at 1/6/2011 10:32:16 AM, file verion: 0, 30, 1, 10...Done!
New Client version-ef4dd1b2d23141a4 at 1/6/2011 10:49:04 AM, file verion: 0, 30, 1, 10...Done!
New RccService version-d10c79e9d4c740be at 1/6/2011 1:21:00 PM, file verion: 0, 31, 0, 0...New RccService version-a9de9ff0f340401c at 1/6/2011 1:22:55 PM, file verion: 0, 31, 0, 0...Done!
New Client version-88d6725196db4aa9 at 1/6/2011 1:39:48 PM, file verion: 0, 31, 0, 0...Done!
New RccService version-73959213025340f4 at 1/7/2011 3:45:15 PM, file verion: 0, 31, 0, 2...Done!
New RccService version-b5f92f33297b4c6b at 1/27/2011 9:57:28 AM, file verion: 0, 33, 0, 8...Done!
New Client version-4f75e2546079474a at 1/27/2011 10:31:05 AM, file verion: 0, 33, 0, 8...Done!
New Client version-64ca2fbe5a624fd3 at 1/28/2011 2:05:38 AM, file verion: 0, 33, 0, 10...Done!
New RccService version-73167d7170224810 at 1/28/2011 2:37:44 PM, file verion: 0, 33, 0, 10...Done!
New RccService version-f773881671684821 at 2/1/2011 11:45:25 PM, file verion: 0, 33, 1, 0...Done!
New Client version-371a4ef279b14764 at 2/2/2011 12:04:22 AM, file verion: 0, 33, 1, 0...Done!
New RccService version-da7d86d1060148c9 at 2/23/2011 11:53:12 PM, file verion: 0, 34, 0, 22...Done!
New Client version-2de7d827839d40a3 at 2/24/2011 12:24:00 AM, file verion: 0, 34, 0, 22...Done!
New RccService version-491c634cc4a14b9d at 3/8/2011 11:39:55 PM, file verion: 0, 35, 0, 13...Done!
New Client version-e024f7ad93c84253 at 3/8/2011 11:56:34 PM, file verion: 0, 35, 0, 13...Done!
New RccService version-fff95b1424ff49fe at 3/11/2011 1:52:18 PM, file verion: 0, 35, 1, 0...Done!
New Client version-2b18f293e6da4dcc at 3/11/2011 2:20:30 PM, file verion: 0, 35, 1, 0...Done!
New RccService version-6e813bfb33ac418b at 3/27/2011 11:37:47 PM, file verion: 0, 36, 1, 27...Done!
New Client version-a3104dade3dc467f at 3/27/2011 11:55:20 PM, file verion: 0, 36, 1, 27...Done!
New RccService version-978fdda2ac634c5b at 4/6/2011 11:21:51 PM, file verion: 0, 37, 0, 13...Done!
New Client version-f396990c625b4b11 at 4/7/2011 12:52:03 AM, file verion: 0, 37, 0, 13...Done!
New Client version-ffdcbe616f2f4697 at 4/8/2011 12:02:01 AM, file verion: 0, 37, 0, 14...Done!
New RccService version-c8f7acfc993e4051 at 4/20/2011 11:54:19 PM, file verion: 0, 38, 0, 169...Done!
New Client version-20c577f966e441d9 at 4/21/2011 12:17:36 AM, file verion: 0, 38, 0, 169...Done!
New RccService version-213d947bc27c413f at 5/3/2011 11:33:06 PM, file verion: 0, 39, 0, 179...Done!
New Client version-213d947bc27c413f at 5/3/2011 11:34:48 PM, file verion: 0, 39, 0, 179...Done!
New RccService version-fa0afaa31b954bb2 at 5/10/2011 11:20:01 PM, file verion: 0, 39, 0, 187...Done!
New Client version-aee0155547bc45d1 at 5/10/2011 11:40:53 PM, file verion: 0, 39, 0, 187...Done!
New RccService version-d59171cc3da141a8 at 5/13/2011 8:42:34 PM, file verion: 0, 40, 0, 195...Done!
New Client version-d59171cc3da141a8 at 5/13/2011 8:44:18 PM, file verion: 0, 40, 0, 195...Done!
New RccService version-cafa00233f014af2 at 5/19/2011 11:39:49 PM, file verion: 0, 40, 0, 202...Done!
New Client version-5fb0645efa584e24 at 5/20/2011 12:05:03 AM, file verion: 0, 40, 0, 202...Done!
New RccService version-0bd676481aef4a01 at 6/13/2011 11:36:46 PM, file verion: 0, 41, 0, 225...Done!
New Client version-fcf5e8633f75410d at 6/14/2011 12:43:34 AM, file verion: 0, 41, 0, 225...Done!
New RccService version-56022e11531046f3 at 6/26/2011 11:53:48 PM, file verion: 0, 42, 0, 238...Done!
New Client version-5ce51d8367464075 at 6/27/2011 12:14:26 AM, file verion: 0, 42, 0, 238...Done!
New RccService version-da96aa7bdd4b401b at 7/20/2011 12:49:51 AM, file verion: 0, 43, 0, 263...Done!
New Client version-f93a5a6aa7924fae at 7/20/2011 1:07:55 AM, file verion: 0, 43, 0, 263...Done!
New RccService version-ff4f861a6b3b47a6 at 7/29/2011 11:37:02 PM, file verion: 0, 43, 1, 264...Done!
New Client version-18c3ec3fed324b69 at 7/30/2011 12:06:15 AM, file verion: 0, 43, 1, 264...Done!
New RccService version-533ae757e2704666 at 8/11/2011 11:43:38 PM, file verion: 0, 44, 0, 291...Done!
New Client version-7a404405e6f944e5 at 8/12/2011 12:21:09 AM, file verion: 0, 44, 0, 291...Done!
New RccService version-5aae26fb33154205 at 8/22/2011 11:35:13 PM, file verion: 0, 44, 1, 296...Done!
New Client version-b0b74ccbad4f4893 at 8/22/2011 11:59:01 PM, file verion: 0, 44, 1, 296...Done!
New RccService version-4d01674a4a2a4a88 at 8/31/2011 11:36:06 PM, file verion: 0, 45, 0, 316...Done!
New Client version-9d8ee47fdc21422e at 8/31/2011 11:54:36 PM, file verion: 0, 45, 0, 316...Done!
New RccService version-52e28e01b88d4aec at 9/1/2011 12:35:12 PM, file verion: 0, 45, 0, 316...Done!
New Client version-52e28e01b88d4aec at 9/1/2011 12:36:21 PM, file verion: 0, 45, 0, 316...Done!
